,state,zipcode,total_income
629,AL,35222,198427.0
630,AL,35223,9625.0
631,AL,35223,19361.0
632,AL,35223,28633.0
633,AL,35223,29685.0
634,AL,35223,174244.0
635,AL,35223,1717051.0
636,AL,35224,15154.0
637,AL,35224,24103.0
638,AL,35224,14241.0
639,AL,35224,6849.0
640,AL,35224,8187.0001
642,AL,35226,41282.0
643,AL,35226,104629.0
644,AL,35226,142004.0
645,AL,35226,168623.0
646,AL,35226,639794.0
647,AL,35226,809753.0
648,AL,35228,32136.0
649,AL,35228,47498.0
650,AL,35228,26849.0
651,AL,35228,10250.0001
652,AL,35228,10004.0
654,AL,35233,3424.0
655,AL,35233,7498.0
656,AL,35233,12912.0
657,AL,35233,7214.0
658,AL,35233,14679.0
659,AL,35233,40140.0
660,AL,35234,15156.0
661,AL,35234,19694.0
662,AL,35234,7432.0
663,AL,35234,4124.0001
664,AL,35234,5327.0
666,AL,35235,49818.0
667,AL,35235,114915.0
668,AL,35235,93027.0
669,AL,35235,57607.0
670,AL,35235,80708.0
671,AL,35235,20774.0001
672,AL,35242,69795.0
673,AL,35242,164976.0
674,AL,35242,191867.0
675,AL,35242,202238.0
676,AL,35242,839495.0
677,AL,35242,2412399.0
678,AL,35243,25138.0
679,AL,35243,68705.0
680,AL,35243,93743.0
681,AL,35243,83548.0
682,AL,35243,275957.0
683,AL,35243,1061656.0
684,AL,35244,47788.0
685,AL,35244,116260.0
686,AL,35244,138189.0
687,AL,35244,150920.0
688,AL,35244,580949.0
689,AL,35244,858746.0
690,AL,35401,79353.0
691,AL,35401,96548.0
692,AL,35401,46553.0
693,AL,35401,26859.0
694,AL,35401,49901.0
695,AL,35401,72042.0
696,AL,35404,52072.0
697,AL,35404,85575.0
698,AL,35404,57019.0
699,AL,35404,40685.0
700,AL,35404,58205.0
701,AL,35404,60045.0
702,AL,35405,102509.0
703,AL,35405,203227.0
704,AL,35405,168483.0
705,AL,35405,127080.0
706,AL,35405,252828.0
707,AL,35405,127279.0
708,AL,35406,18723.0
709,AL,35406,40290.0
710,AL,35406,49153.0
711,AL,35406,58306.0
712,AL,35406,243968.0
713,AL,35406,629794.0
714,AL,35441,2211.0001
715,AL,35441,5205.0
716,AL,35441,3787.0001
717,AL,35441,3665.0
718,AL,35441,8638.0001
720,AL,35442,14266.0
721,AL,35442,19466.0
722,AL,35442,10854.0
723,AL,35442,6413.0
724,AL,35442,11660.0
725,AL,35442,24022.0001
726,AL,35443,5450.0
727,AL,35443,7144.0
728,AL,35443,2757.0
729,AL,35443,1892.0001
730,AL,35443,4075.0001
732,AL,35444,7009.0
733,AL,35444,15486.0
734,AL,35444,17429.0
735,AL,35444,15695.0
736,AL,35444,23136.0
737,AL,35444,10738.0001
738,AL,35446,4115.0
739,AL,35446,8995.0
740,AL,35446,7341.0
741,AL,35446,6556.0001
742,AL,35446,15147.0
744,AL,35447,7944.0
745,AL,35447,12201.0
746,AL,35447,8148.0
747,AL,35447,7052.0001
748,AL,35447,18409.0
750,AL,35452,6825.0
751,AL,35452,15061.0
752,AL,35452,15976.0
753,AL,35452,16121.0
754,AL,35452,28468.0
755,AL,35452,9438.0001
756,AL,35453,23792.0
757,AL,35453,49884.0
758,AL,35453,50015.0
759,AL,35453,41947.0
760,AL,35453,69439.0
761,AL,35453,29013.0
762,AL,35456,9483.0
763,AL,35456,19339.0
764,AL,35456,15516.0
765,AL,35456,14186.0
766,AL,35456,23838.0
767,AL,35456,8974.0001
768,AL,35458,1068.0001
