state,zip_code,total_income
AL,35674,41436
AL,35674,75639
AL,35674,71689
AL,35674,68509
AL,35674,133625
AL,35674,72934
AL,35677,3683
AL,35677,7033
AL,35677,7398
AL,35677,5995
AL,35677,10663
AL,35739,11101
AL,35739,21669
AL,35739,22210
AL,35739,21345
AL,35739,36751
AL,35739,22289
AL,35740,6262
AL,35740,14292
AL,35740,11759
AL,35740,10084
AL,35740,19496
AL,35741,4870
AL,35741,11881
AL,35741,14545
AL,35741,13860
AL,35741,46096
AL,35741,99351
AL,35744,4777
AL,35744,10268
AL,35744,10130
AL,35744,6935
AL,35744,10919
AL,35746,1614
AL,35746,3089
AL,35746,3662
AL,35746,2679
AL,35746,3883
AL,35747,11054
AL,35747,20604
AL,35747,22871
AL,35747,21647
AL,35747,52689
AL,35747,24394
AL,35748,12766
AL,35748,23349
AL,35748,23049
AL,35748,27498
AL,35748,104171
AL,35748,145561
AL,35749,44229
AL,35749,95475
AL,35749,117992
AL,35749,136876
AL,35749,354685
AL,35749,212781
AL,35750,26781
AL,35750,60288
AL,35750,64011
AL,35750,54466
AL,35750,110602
AL,35750,35728
AL,35751,514
AL,35751,2110
AL,35751,2399
AL,35752,5121
AL,35752,7630
AL,35752,6787
AL,35752,5759
AL,35752,14806
AL,35754,10773
AL,35754,24507
AL,35754,16815
AL,35754,15811
AL,35754,40863
AL,35754,36060
AL,35755,1326
AL,35755,2390
AL,35755,1651
AL,35755,2475
AL,35755,10369
AL,35756,25874
AL,35756,57213
AL,35756,82330
AL,35756,100919
AL,35756,401931
AL,35756,272281
AL,35757,26093
AL,35757,52735
AL,35757,71160
AL,35757,87272
AL,35757,273783
AL,35757,136390
AL,35758,64971
AL,35758,139476
AL,35758,165206
AL,35758,188866
AL,35758,777108
AL,35758,821673
AL,35759,14541
AL,35759,35109
AL,35759,49675
AL,35759,56479
AL,35759,142886
AL,35759,43619
AL,35760,10541
AL,35760,19336
AL,35760,20328
AL,35760,17180
AL,35760,35001
AL,35760,14718
AL,35761,21392
AL,35761,47788
AL,35761,52247
AL,35761,52734
AL,35761,140619
AL,35761,77813
AL,35763,22536
AL,35763,45867
AL,35763,63901
AL,35763,90206
AL,35763,415010
AL,35763,494535
AL,35764,1471
AL,35764,2440
AL,35764,2135
AL,35764,3495
AL,35765,7150
AL,35765,13980
AL,35765,13326
AL,35765,8776
AL,35765,20642
AL,35768,26362
AL,35768,46419
AL,35768,40400
AL,35768,33744
AL,35768,53964
AL,35768,37954
AL,35769,19372
AL,35769,36813
AL,35769,36888
AL,35769,36107
AL,35769,90021
AL,35769,117005
AL,35771,7522
AL,35771,13726
AL,35771,12746
AL,35771,11057
AL,35771,14770
AL,35771,6943
AL,35772,9468
AL,35772,18917
AL,35772,15130
AL,35772,13832
AL,35772,25049
AL,35773,26489
AL,35773,54518
AL,35773,55146
AL,35773,52348
